x y theta v w
0 0 0 -0.0257736 1.91
0 0 0 -0.00394419 1.91
0 0 0 0.0296526 1.91
0 0 0 0.0770108 1.91
0 0 0 0.151128 1.91
0 0 0 0.232169 1.91
0 0 0 0.353891 1.91
0 0 0 0.494273 1.91
-1.57911e-12 -4.69694e-12 1.31026 0.639705 1.91
0.000310514 0.00115913 1.30786 0.7 -0.233683
0.00300393 0.0107894 1.28908 0.7 -0.229393
0.00878659 0.0299348 1.2684 0.7 -0.19168
0.0179989 0.058485 1.25088 0.7 -0.149698
0.0308474 0.096365 1.23807 0.7 -0.11367
0.0474445 0.14353 1.22777 0.7 -0.0868831
0.0678659 0.199947 1.21997 0.7 -0.0647523
0.0917015 0.264486 1.21455 0.7 -0.0472236
0.116254 0.330039 1.21061 0.7 -0.0340417
0.141024 0.39551 1.20785 0.7 -0.0233326
0.165942 0.460925 1.20605 0.7 -0.0144683
0.19095 0.526305 1.20505 0.7 -0.00705269
0.216001 0.591669 1.20472 0.7 -0.000783307
0.241054 0.657032 1.20496 0.7 0.00457832
0.266075 0.722408 1.2057 0.7 0.00922116
0.291033 0.787808 1.20687 0.7 0.0132951
0.315901 0.853241 1.20841 0.7 0.0169194
0.340657 0.918717 1.2103 0.7 0.0201884
0.365279 0.984244 1.2125 0.7 0.0231772
0.389748 1.04983 1.21498 0.7 0.0259453
0.414044 1.11548 1.21773 0.7 0.0285399
0.438152 1.18119 1.22074 0.7 0.0309982
0.462054 1.24699 1.22398 0.7 0.0333496
0.485735 1.31286 1.22745 0.7 0.0356175
0.50918 1.37882 1.23114 0.7 0.0378206
0.527754 1.43165 1.2343 0.7 0.0399739
0.550732 1.49777 1.23845 0.7 0.0425882
0.573429 1.56399 1.24279 0.7 0.044586
0.595831 1.6303 1.24733 0.7 0.0466174
0.617925 1.69673 1.25207 0.7 0.0486574
0.639697 1.76325 1.25702 0.7 0.050712
0.661131 1.82989 1.26222 0.7 0.0527948
0.682213 1.89664 1.26758 0.7 0.0548381
0.702929 1.96351 1.27319 0.7 0.0570444
0.722766 2.02885 1.27901 0.667154 0.0588718
0.74124 2.09101 1.28498 0.630595 0.0603124
0.758393 2.15004 1.29109 0.600762 0.0615844
0.774415 2.20647 1.29732 0.57547 0.0627976
0.789446 2.26071 1.30367 0.553849 0.0639871
0.803604 2.3131 1.31014 0.535272 0.0651713
0.816985 2.36393 1.31673 0.519186 0.0663644
0.829658 2.41341 1.32344 0.505137 0.0675772
0.841681 2.46171 1.33027 0.492793 0.0688156
0.853101 2.50897 1.33723 0.481877 0.0700837
0.863957 2.55532 1.34431 0.472157 0.0713842
0.874279 2.60086 1.35153 0.46344 0.0727193
0.884093 2.64567 1.35889 0.455562 0.07409
0.89342 2.68982 1.36638 0.448385 0.0754973
0.902277 2.73337 1.37402 0.441797 0.0769414
0.910677 2.77637 1.3818 0.435699 0.0784226
0.918631 2.81886 1.38973 0.430011 0.0799408
0.926129 2.86077 1.39785 0.424666 0.0814959
0.933216 2.90234 1.40609 0.419769 0.0830233
0.939879 2.94349 1.41449 0.414935 0.084656
0.946122 2.98423 1.42306 0.410292 0.0863299
0.951947 3.02458 1.4318 0.405819 0.0880387
0.957357 3.06453 1.4407 0.401487 0.0897818
0.961376 3.09614 1.44799 0.397275 0.0915591
0.966114 3.13606 1.45742 0.405085 0.0960115
0.97047 3.17603 1.46711 0.399998 0.0976082
0.974382 3.2155 1.47696 0.394367 0.0991073
0.977863 3.25456 1.48694 0.389008 0.100691
0.980901 3.29303 1.49711 0.383767 0.102426
0.98351 3.33103 1.50746 0.378943 0.10417
0.985694 3.36858 1.51798 0.374332 0.105982
0.987459 3.40571 1.52869 0.369891 0.107859
0.988806 3.44241 1.5396 0.365594 0.109796
0.989739 3.47871 1.5507 0.36142 0.111789
0.990259 3.5146 1.562 0.357352 0.113834
0.990369 3.5501 1.57351 0.353376 0.115927
0.990069 3.58521 1.5852 0.349642 0.117667
0.989364 3.61995 1.59707 0.346011 0.119393
0.988255 3.65432 1.60913 0.342392 0.121311
0.986744 3.6883 1.62138 0.33878 0.123404
0.984833 3.72191 1.63386 0.33518 0.125636
0.982525 3.75514 1.64656 0.331609 0.127955
0.97982 3.78797 1.6595 0.328089 0.130297
0.97672 3.82043 1.67267 0.324617 0.132663
0.973226 3.85249 1.68608 0.321187 0.13506
0.96934 3.88417 1.69973 0.317795 0.137492
0.965064 3.91546 1.71363 0.314437 0.139964
0.960399 3.94635 1.72778 0.311108 0.142479
0.955348 3.97685 1.74218 0.307804 0.145042
0.949913 4.00694 1.75684 0.304521 0.147655
0.944096 4.03663 1.77176 0.301255 0.150321
0.937901 4.06592 1.78696 0.298 0.153044
0.931329 4.09478 1.80243 0.294751 0.155828
0.925803 4.11757 1.81501 0.291501 0.158677
0.918474 4.14601 1.83118 0.296901 0.166313
0.910653 4.17441 1.84798 0.293011 0.169119
0.902473 4.20226 1.86504 0.288479 0.171502
0.893924 4.22963 1.88229 0.284054 0.174049
0.88504 4.25642 1.89981 0.279602 0.176881
0.87583 4.28263 1.91762 0.275234 0.179906
0.866303 4.30827 1.93574 0.270918 0.183108
0.856466 4.33333 1.95418 0.266608 0.186488
0.84633 4.3578 1.97297 0.262256 0.190049
0.835942 4.38159 1.9922 0.257819 0.19379
0.825279 4.40477 2.01181 0.253382 0.1976
0.814358 4.42732 2.03181 0.248739 0.201621
0.803202 4.44922 2.05223 0.243822 0.205866
0.791839 4.47044 2.07308 0.23857 0.210343
0.780246 4.49103 2.09431 0.232913 0.215053
0.768516 4.51086 2.11602 0.226568 0.220156
0.756766 4.52976 2.13883 0.0427736 0.299445
0.748718 4.54201 2.16866 0.0349085 0.297563
0.745401 4.54675 2.19791 0.0447752 0.289135
0.741864 4.55147 2.22665 0.0684823 0.286098
0.736777 4.55788 2.25512 0.0918088 0.283844
0.730114 4.5658 2.28332 0.111365 0.280843
0.722082 4.57483 2.31119 0.127204 0.277124
0.713032 4.58446 2.33871 0.139494 0.272431
0.702769 4.5948 2.36569 0.149818 0.268016
0.691614 4.60545 2.39222 0.157219 0.263583
0.679732 4.61622 2.41832 0.162446 0.25922
0.667264 4.62694 2.44399 0.165786 0.255034
0.654347 4.63749 2.46926 0.167453 0.25111
0.641109 4.64776 2.49416 0.167621 0.247521
0.627674 4.65766 2.51872 0.166429 0.244345
0.61416 4.66712 2.54299 0.16399 0.241667
0.603371 4.67433 2.56224 0.160399 0.239592
0.589968 4.68287 2.58652 0.156726 0.247466
0.57674 4.69085 2.61122 0.151151 0.24643
0.563823 4.69822 2.63583 0.145001 0.245657
0.5513 4.70496 2.66042 0.138008 0.246286
0.539265 4.71106 2.68514 0.130302 0.248597
0.527794 4.71651 2.71017 0.122165 0.252809
0.516933 4.72135 2.73571 0.113976 0.259129
0.506691 4.7256 2.76196 0.106223 0.26772
0.497025 4.72931 2.78917 0.0995156 0.278657
0.487916 4.73251 2.81783 0.0946016 0.291881
0.479013 4.73535 2.84792 0.0927093 0.306863
0.47 4.73793 2.87959 0.0944069 0.323245
0.460477 4.74031 2.91293 0.100679 0.340152
0.45017 4.74252 2.94759 0.112522 0.356312
0.437996 4.74467 2.98408 0.131055 0.370582
0.423619 4.74667 3.02167 0.156309 0.379541
0.406375 4.7484 3.05973 0.188835 0.381325
0.385301 4.7497 3.09844 0.240434 0.390948
0.35905 4.75031 3.13596 0.291253 0.364685
0.327692 4.74992 3.16983 0.343048 0.319747
0.291282 4.74833 3.19848 0.390125 0.256571
0.250534 4.74552 3.22012 0.425958 0.175767
0.207095 4.74176 3.2334 0.442724 0.0807837
0.16353 4.73762 3.23704 0.4342 -0.0210012
0.122123 4.73374 3.23071 0.398407 -0.112691
0.0847261 4.73064 3.21596 0.342664 -0.179535
0.0481352 4.7283 3.19321 0.7 -0.361659
0.00403151 4.72678 3.15989 0.435929 -0.0513458
-0.0407592 4.7264 3.14372 0.567571 0.476398
-0.0939796 4.72627 3.14756 0.557312 0.620442
-0.147305 4.72553 3.16179 0.338357 0.0761804
-0.18308 4.72469 3.16988 0.294374 0.136137
-0.218788 4.72342 3.18651 0.27811 0.191468
-0.245455 4.72196 3.20805 0.250908 0.231278
-0.269256 4.72009 3.23252 0.230515 0.253788
-0.291019 4.71783 3.25876 0.211 0.268124
-0.31085 4.71523 3.28612 0.192694 0.277144
-0.329231 4.7123 3.31403 0.1763 0.282136
-0.345698 4.70919 3.34239 0.161767 0.284507
-0.360816 4.70589 3.37082 0.150044 0.284197
-0.374833 4.70242 3.39913 0.140682 0.282322
-0.387971 4.69876 3.42719 0.133516 0.279459
-0.400431 4.69491 3.45493 0.128325 0.276018
-0.412387 4.69086 3.4823 0.124863 0.272294
-0.424023 4.68656 3.50938 0.122878 0.2685
-0.435381 4.68201 3.536 0.122022 0.264678
-0.446599 4.67716 3.56226 0.122306 0.261115
-0.457758 4.67199 3.58817 0.123421 0.257762
-0.468915 4.66647 3.61376 0.125189 0.254633
-0.480111 4.66058 3.63904 0.127469 0.251728
-0.491375 4.65427 3.66406 0.130145 0.249033
-0.502725 4.64755 3.68881 0.133123 0.246526
-0.51417 4.64038 3.71332 0.136329 0.244182
-0.525712 4.63275 3.73761 0.139702 0.241972
-0.537349 4.62465 3.76168 0.143198 0.239871
-0.549076 4.61606 3.78554 0.146782 0.237852
-0.560881 4.60698 3.80921 0.150428 0.235892
-0.572755 4.59739 3.83268 0.154117 0.233972
-0.584742 4.58723 3.85593 0.157836 0.232072
-0.596709 4.57661 3.87903 0.161475 0.230269
-0.6087 4.56546 3.90194 0.165234 0.228359
-0.618303 4.55616 3.92013 0.169009 0.226425
-0.63049 4.54386 3.94294 0.179394 0.230525
-0.64296 4.53068 3.96585 0.182752 0.228195
-0.655251 4.51709 3.98862 0.185355 0.225491
-0.667482 4.50293 4.01099 0.188258 0.222589
-0.679582 4.48828 4.03309 0.191233 0.219937
-0.691549 4.47312 4.05493 0.194377 0.217318
-0.703378 4.45745 4.0765 0.197666 0.214708
-0.715066 4.44126 4.09782 0.201077 0.212106
-0.726605 4.42453 4.11887 0.204589 0.209508
-0.737987 4.40727 4.13967 0.208186 0.206911
-0.749205 4.38948 4.1602 0.211854 0.204313
-0.760248 4.37114 4.18048 0.215582 0.201712
-0.771107 4.35225 4.20049 0.219362 0.199106
-0.781771 4.33282 4.22025 0.223186 0.196495
-0.792231 4.31284 4.23974 0.227047 0.193878
-0.802475 4.29232 4.25897 0.23094 0.191254
-0.812493 4.27125 4.27794 0.234862 0.188624
-0.822275 4.24964 4.29664 0.238808 0.185988
-0.831811 4.22749 4.31508 0.242777 0.183347
-0.84109 4.20479 4.33326 0.246764 0.180701
-0.850102 4.18156 4.35117 0.250768 0.178051
-0.858839 4.1578 4.36882 0.254788 0.1754
-0.867291 4.13351 4.3862 0.258821 0.172748
-0.875448 4.10869 4.40331 0.262865 0.170096
-0.883303 4.08335 4.42016 0.26692 0.167447
-0.890847 4.05749 4.43675 0.270985 0.164801
-0.898095 4.03104 4.45302 0.275057 0.162161
-0.904993 4.00417 4.46908 0.279018 0.159631
-0.911577 3.97672 4.48483 0.283112 0.156997
-0.9178 3.94886 4.50038 0.287097 0.154469
-0.923675 3.9205 4.51567 0.291213 0.151842
-0.928137 3.89739 4.52766 0.295336 0.149223
-0.93348 3.86754 4.54268 0.308401 0.150894
-0.938481 3.83698 4.55766 0.311681 0.147993
-0.943083 3.80598 4.57226 0.314584 0.144786
-0.947276 3.77462 4.58656 0.317556 0.141771
-0.951061 3.7429 4.60056 0.320704 0.138846
-0.95444 3.71081 4.61428 0.324005 0.135998
-0.957414 3.67834 4.62771 0.327433 0.133219
-0.959984 3.64548 4.64087 0.330965 0.130504
-0.962149 3.61224 4.65376 0.334582 0.127848
-0.963908 3.57861 4.66639 0.338266 0.125247
-0.965262 3.54459 4.67876 0.342004 0.122697
-0.966209 3.51017 4.69088 0.345784 0.120196
-0.96675 3.47537 4.70275 0.349597 0.117739
-0.966883 3.44018 4.71438 0.353434 0.115325
-0.966608 3.40461 4.72577 0.357287 0.112952
-0.965924 3.36865 4.73693 0.36115 0.110618
-0.964833 3.33232 4.74785 0.365019 0.108321
-0.963335 3.2957 4.75859 0.368888 0.10606
-0.961424 3.25862 4.76906 0.372868 0.103746
-0.959106 3.22117 4.7793 0.376716 0.10156
-0.956381 3.18337 4.78933 0.380548 0.0994111
-0.953249 3.14521 4.79914 0.384369 0.0972929
-0.949713 3.10671 4.80875 0.388176 0.0952036
-0.945772 3.06786 4.81815 0.391966 0.0931429
-0.941429 3.02868 4.82734 0.395738 0.0911103
-0.936686 2.98917 4.83633 0.399489 0.0891055
-0.931535 2.94925 4.84508 0.403217 0.0871281
-0.925997 2.90909 4.85368 0.406809 0.0852542
-0.920066 2.86862 4.86209 0.410495 0.0833248
-0.913742 2.82784 4.87031 0.414158 0.0814163
-0.908402 2.79499 4.87675 0.41779 0.079535
-0.901239 2.75286 4.88473 0.433811 0.0800267
-0.893605 2.71001 4.89261 0.436264 0.0780106
-0.885599 2.66701 4.90029 0.438042 0.0758951
-0.877233 2.62389 4.90775 0.440006 0.0738404
-0.868508 2.58063 4.91502 0.442172 0.0718509
-0.859426 2.53722 4.92209 0.444506 0.0699213
-0.849991 2.49363 4.92897 0.446972 0.0680458
-0.840206 2.44986 4.93566 0.449542 0.0662197
-0.830072 2.4059 4.94218 0.452192 0.0644389
-0.819595 2.36174 4.94851 0.454901 0.0626995
-0.808776 2.31739 4.95468 0.457651 0.0609983
-0.797621 2.27283 4.96068 0.460427 0.0593326
-0.786133 2.22807 4.96652 0.463217 0.0576999
-0.774317 2.18311 4.97219 0.46601 0.056098
-0.762177 2.13794 4.97771 0.468797 0.054525
-0.749718 2.09258 4.98307 0.471569 0.0529791
-0.736945 2.04701 4.98827 0.47432 0.0514588
-0.723864 2.00125 4.99333 0.477044 0.0499629
-0.710479 1.95529 4.99824 0.479737 0.04849
-0.696796 1.90915 5.003 0.482392 0.047039
-0.68282 1.86281 5.00762 0.485008 0.045609
-0.668559 1.81629 5.01209 0.48758 0.0441989
-0.654017 1.7696 5.01643 0.490105 0.0428081
-0.6392 1.72272 5.02063 0.492581 0.0414356
-0.624116 1.67568 5.02469 0.495005 0.0400808
-0.608769 1.62847 5.02862 0.497375 0.0387429
-0.593168 1.58109 5.03241 0.49969 0.0374212
-0.577304 1.53352 5.03605 0.501947 0.0361153
-0.561201 1.4858 5.03956 0.504078 0.0348746
-0.544867 1.43793 5.04295 0.506158 0.0336422
-0.531634 1.39954 5.04557 0.508188 0.0324163
-0.514599 1.35057 5.0488 0.525232 0.0321951
-0.49717 1.30099 5.05194 0.525869 0.0308533
-0.479584 1.25144 5.05494 0.525667 0.029467
-0.461855 1.20195 5.05783 0.525662 0.0281125
-0.443983 1.1525 5.06056 0.525876 0.0267403
-0.425968 1.10307 5.06316 0.526268 0.0254527
-0.407811 1.05364 5.06563 0.526797 0.0241952
-0.389515 1.0042 5.06797 0.527429 0.0229605
-0.371083 0.954741 5.0702 0.528138 0.0217457
-0.352518 0.905249 5.0723 0.528898 0.0205487
